Instance,Scenario,Algorithm,MeanMakespan
ft06,Static,GAKK,56.1
ft06,Static,GASPT,55.5
ft06,Static,GALPT,55.9
ft06,Static,GASRPT,55.3
ft06,Static,GALRPT,55.4
ft06,Static,GAMIX,55
ft06,Static,GA,55.6
ft06,Static,GAMIX_no_GALPT,55.7
ft06,Static,GAMIX_no_GASRPT,55
ft06,Static,GAMIX_no_GAKK,55.5
ft06,Static,GAMIX_no_GASPT,55.2
ft06,Static,GAMIX_no_GALRPT,55.2
ft06,Static,GAMIX_no_LPT_SRPT,55.2
ft06,NewJob,GAKK,57.7
ft06,NewJob,GASPT,57.3
ft06,NewJob,GALPT,57.2
ft06,NewJob,GASRPT,56.8
ft06,NewJob,GALRPT,57.1
ft06,NewJob,GAMIX,57.5
ft06,NewJob,GA,56.9
ft06,NewJob,GAMIX_no_GALPT,57.6
ft06,NewJob,GAMIX_no_GASRPT,57.1
ft06,NewJob,GAMIX_no_GAKK,57.6
ft06,NewJob,GAMIX_no_GASPT,57.5
ft06,NewJob,GAMIX_no_GALRPT,58
ft06,NewJob,GAMIX_no_LPT_SRPT,56.9
ft06,Breakdown,GAKK,56.1
ft06,Breakdown,GASPT,56.6
ft06,Breakdown,GALPT,56.6
ft06,Breakdown,GASRPT,57.3
ft06,Breakdown,GALRPT,56.8
ft06,Breakdown,GAMIX,57.4
ft06,Breakdown,GA,57.6
ft06,Breakdown,GAMIX_no_GALPT,57.2
ft06,Breakdown,GAMIX_no_GASRPT,57.3
ft06,Breakdown,GAMIX_no_GAKK,56.9
ft06,Breakdown,GAMIX_no_GASPT,57.2
ft06,Breakdown,GAMIX_no_GALRPT,56.3
ft06,Breakdown,GAMIX_no_LPT_SRPT,56.6
ft06,TimeNoise,GAKK,56.1
ft06,TimeNoise,GASPT,57.1
ft06,TimeNoise,GALPT,56.8
ft06,TimeNoise,GASRPT,57.5
ft06,TimeNoise,GALRPT,56.9
ft06,TimeNoise,GAMIX,56.8
ft06,TimeNoise,GA,57.3
ft06,TimeNoise,GAMIX_no_GALPT,57.7
ft06,TimeNoise,GAMIX_no_GASRPT,57.4
ft06,TimeNoise,GAMIX_no_GAKK,57.2
ft06,TimeNoise,GAMIX_no_GASPT,57.2
ft06,TimeNoise,GAMIX_no_GALRPT,56.6
ft06,TimeNoise,GAMIX_no_LPT_SRPT,57
ft06,Mixed,GAKK,57.6
ft06,Mixed,GASPT,57.4
ft06,Mixed,GALPT,57.6
ft06,Mixed,GASRPT,57.5
ft06,Mixed,GALRPT,58.1
ft06,Mixed,GAMIX,56.4
ft06,Mixed,GA,57.2
ft06,Mixed,GAMIX_no_GALPT,57.2
ft06,Mixed,GAMIX_no_GASRPT,58.1
ft06,Mixed,GAMIX_no_GAKK,56.3
ft06,Mixed,GAMIX_no_GASPT,57.2
ft06,Mixed,GAMIX_no_GALRPT,57.5
ft06,Mixed,GAMIX_no_LPT_SRPT,58
ft10,Static,GAKK,1007.5
ft10,Static,GASPT,1009.1
ft10,Static,GALPT,1005.7
ft10,Static,GASRPT,1005.5
ft10,Static,GALRPT,1005.5
ft10,Static,GAMIX,1018.8
ft10,Static,GA,1004.4
ft10,Static,GAMIX_no_GALPT,1008.8
ft10,Static,GAMIX_no_GASRPT,1002.6
ft10,Static,GAMIX_no_GAKK,1009.7
ft10,Static,GAMIX_no_GASPT,1014.6
ft10,Static,GAMIX_no_GALRPT,1003.9
ft10,Static,GAMIX_no_LPT_SRPT,1015.6
ft10,NewJob,GAKK,1070.3
ft10,NewJob,GASPT,1054
ft10,NewJob,GALPT,1055.4
ft10,NewJob,GASRPT,1062.2
ft10,NewJob,GALRPT,1047.9
ft10,NewJob,GAMIX,1056.5
ft10,NewJob,GA,1050.4
ft10,NewJob,GAMIX_no_GALPT,1039.9
ft10,NewJob,GAMIX_no_GASRPT,1053.3
ft10,NewJob,GAMIX_no_GAKK,1071.7
ft10,NewJob,GAMIX_no_GASPT,1066.2
ft10,NewJob,GAMIX_no_GALRPT,1038.9
ft10,NewJob,GAMIX_no_LPT_SRPT,1039.1
ft10,Breakdown,GAKK,1049.6
ft10,Breakdown,GASPT,1044.1
ft10,Breakdown,GALPT,1062
ft10,Breakdown,GASRPT,1063.5
ft10,Breakdown,GALRPT,1045.5
ft10,Breakdown,GAMIX,1035
ft10,Breakdown,GA,1046.6
ft10,Breakdown,GAMIX_no_GALPT,1073.1
ft10,Breakdown,GAMIX_no_GASRPT,1063.9
ft10,Breakdown,GAMIX_no_GAKK,1043.7
ft10,Breakdown,GAMIX_no_GASPT,1079.7
ft10,Breakdown,GAMIX_no_GALRPT,1041.7
ft10,Breakdown,GAMIX_no_LPT_SRPT,1045
ft10,TimeNoise,GAKK,1057.6
ft10,TimeNoise,GASPT,1055.9
ft10,TimeNoise,GALPT,1064.6
ft10,TimeNoise,GASRPT,1048.7
ft10,TimeNoise,GALRPT,1052.1
ft10,TimeNoise,GAMIX,1038.1
ft10,TimeNoise,GA,1058.5
ft10,TimeNoise,GAMIX_no_GALPT,1062
ft10,TimeNoise,GAMIX_no_GASRPT,1040.2
ft10,TimeNoise,GAMIX_no_GAKK,1049.2
ft10,TimeNoise,GAMIX_no_GASPT,1067.4
ft10,TimeNoise,GAMIX_no_GALRPT,1055.9
ft10,TimeNoise,GAMIX_no_LPT_SRPT,1077.6
ft10,Mixed,GAKK,1051.7
ft10,Mixed,GASPT,1029.4
ft10,Mixed,GALPT,1059.9
ft10,Mixed,GASRPT,1072
ft10,Mixed,GALRPT,1026.6
ft10,Mixed,GAMIX,1055.1
ft10,Mixed,GA,1053.2
ft10,Mixed,GAMIX_no_GALPT,1051.2
ft10,Mixed,GAMIX_no_GASRPT,1067
ft10,Mixed,GAMIX_no_GAKK,1088.7
ft10,Mixed,GAMIX_no_GASPT,1055.7
ft10,Mixed,GAMIX_no_GALRPT,1043.7
ft10,Mixed,GAMIX_no_LPT_SRPT,1037.7
ft20,Static,GAKK,1243.1
ft20,Static,GASPT,1250.3
ft20,Static,GALPT,1267.4
ft20,Static,GASRPT,1238.5
ft20,Static,GALRPT,1228.4
ft20,Static,GAMIX,1238
ft20,Static,GA,1238.3
ft20,Static,GAMIX_no_GALPT,1255.5
ft20,Static,GAMIX_no_GASRPT,1247
ft20,Static,GAMIX_no_GAKK,1237.2
ft20,Static,GAMIX_no_GASPT,1237.4
ft20,Static,GAMIX_no_GALRPT,1248.4
ft20,Static,GAMIX_no_LPT_SRPT,1238.9
ft20,NewJob,GAKK,1330.4
ft20,NewJob,GASPT,1303.8
ft20,NewJob,GALPT,1319.1
ft20,NewJob,GASRPT,1332.5
ft20,NewJob,GALRPT,1306.2
ft20,NewJob,GAMIX,1297.2
ft20,NewJob,GA,1328.9
ft20,NewJob,GAMIX_no_GALPT,1315.5
ft20,NewJob,GAMIX_no_GASRPT,1315
ft20,NewJob,GAMIX_no_GAKK,1321.4
ft20,NewJob,GAMIX_no_GASPT,1337.4
ft20,NewJob,GAMIX_no_GALRPT,1328.6
ft20,NewJob,GAMIX_no_LPT_SRPT,1312.6
ft20,Breakdown,GAKK,1320.8
ft20,Breakdown,GASPT,1333
ft20,Breakdown,GALPT,1330.9
ft20,Breakdown,GASRPT,1300.6
ft20,Breakdown,GALRPT,1317.8
ft20,Breakdown,GAMIX,1316.1
ft20,Breakdown,GA,1320.7
ft20,Breakdown,GAMIX_no_GALPT,1317.9
ft20,Breakdown,GAMIX_no_GASRPT,1335.1
ft20,Breakdown,GAMIX_no_GAKK,1335.2
ft20,Breakdown,GAMIX_no_GASPT,1342.3
ft20,Breakdown,GAMIX_no_GALRPT,1305.8
ft20,Breakdown,GAMIX_no_LPT_SRPT,1313.9
ft20,TimeNoise,GAKK,1335.9
ft20,TimeNoise,GASPT,1302.5
ft20,TimeNoise,GALPT,1331
ft20,TimeNoise,GASRPT,1327.2
ft20,TimeNoise,GALRPT,1301.8
ft20,TimeNoise,GAMIX,1319.9
ft20,TimeNoise,GA,1325.9
ft20,TimeNoise,GAMIX_no_GALPT,1335.3
ft20,TimeNoise,GAMIX_no_GASRPT,1330.4
ft20,TimeNoise,GAMIX_no_GAKK,1315.2
ft20,TimeNoise,GAMIX_no_GASPT,1321.5
ft20,TimeNoise,GAMIX_no_GALRPT,1334.6
ft20,TimeNoise,GAMIX_no_LPT_SRPT,1309
ft20,Mixed,GAKK,1322
ft20,Mixed,GASPT,1329.8
ft20,Mixed,GALPT,1331.1
ft20,Mixed,GASRPT,1311.8
ft20,Mixed,GALRPT,1324.4
ft20,Mixed,GAMIX,1334.1
ft20,Mixed,GA,1329.1
ft20,Mixed,GAMIX_no_GALPT,1310.6
ft20,Mixed,GAMIX_no_GASRPT,1316.5
ft20,Mixed,GAMIX_no_GAKK,1317
ft20,Mixed,GAMIX_no_GASPT,1314.1
ft20,Mixed,GAMIX_no_GALRPT,1307.3
ft20,Mixed,GAMIX_no_LPT_SRPT,1331.6
la01,Static,GAKK,666
la01,Static,GASPT,666.2
la01,Static,GALPT,666
la01,Static,GASRPT,666
la01,Static,GALRPT,666
la01,Static,GAMIX,666
la01,Static,GA,666
la01,Static,GAMIX_no_GALPT,666
la01,Static,GAMIX_no_GASRPT,666
la01,Static,GAMIX_no_GAKK,666
la01,Static,GAMIX_no_GASPT,666
la01,Static,GAMIX_no_GALRPT,666
la01,Static,GAMIX_no_LPT_SRPT,666
la01,NewJob,GAKK,671
la01,NewJob,GASPT,671.1
la01,NewJob,GALPT,669.5
la01,NewJob,GASRPT,674.6
la01,NewJob,GALRPT,672.4
la01,NewJob,GAMIX,670.9
la01,NewJob,GA,672.4
la01,NewJob,GAMIX_no_GALPT,682.6
la01,NewJob,GAMIX_no_GASRPT,673.7
la01,NewJob,GAMIX_no_GAKK,668.9
la01,NewJob,GAMIX_no_GASPT,677.2
la01,NewJob,GAMIX_no_GALRPT,676
la01,NewJob,GAMIX_no_LPT_SRPT,671
la01,Breakdown,GAKK,673.5
la01,Breakdown,GASPT,669.5
la01,Breakdown,GALPT,678.1
la01,Breakdown,GASRPT,675.5
la01,Breakdown,GALRPT,678.6
la01,Breakdown,GAMIX,667.2
la01,Breakdown,GA,667.2
la01,Breakdown,GAMIX_no_GALPT,677.2
la01,Breakdown,GAMIX_no_GASRPT,671.9
la01,Breakdown,GAMIX_no_GAKK,674.7
la01,Breakdown,GAMIX_no_GASPT,669.1
la01,Breakdown,GAMIX_no_GALRPT,674.4
la01,Breakdown,GAMIX_no_LPT_SRPT,674.1
la01,TimeNoise,GAKK,677.4
la01,TimeNoise,GASPT,674.2
la01,TimeNoise,GALPT,671.8
la01,TimeNoise,GASRPT,668
la01,TimeNoise,GALRPT,672.6
la01,TimeNoise,GAMIX,670.7
la01,TimeNoise,GA,674.4
la01,TimeNoise,GAMIX_no_GALPT,680.5
la01,TimeNoise,GAMIX_no_GASRPT,668.5
la01,TimeNoise,GAMIX_no_GAKK,668.1
