Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,58,2
ft06,GAKK,58,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,55,2
ft06,GAKK,57,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,58,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,58,2
ft06,GAKK,57,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,55,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,58,2
ft06,GASPT,58,2
ft06,GALPT,59,2
ft06,GALPT,58,2
ft06,GALPT,58,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,57,2
ft06,GALPT,55,2
ft06,GALPT,58,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,58,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GASRPT,57,2
ft06,GASRPT,55,2
ft06,GASRPT,57,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,59,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,58,2
ft06,GASRPT,58,2
ft06,GASRPT,60,2
ft06,GASRPT,55,2
ft06,GASRPT,58,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,59,2
ft06,GALRPT,55,2
ft06,GALRPT,59,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,58,2
ft06,GALRPT,57,2
ft06,GALRPT,59,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,59,2
ft06,GALRPT,57,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,57,2
ft06,GALRPT,59,2
ft06,GALRPT,59,2
ft06,GAMIX,55,2
ft06,GAMIX,55,2
ft06,GAMIX,55,2
ft06,GAMIX,59,2
ft06,GAMIX,59,2
ft06,GAMIX,59,2
ft06,GAMIX,55,2
ft06,GAMIX,58,2
ft06,GAMIX,55,2
ft06,GAMIX,55,2
ft06,GAMIX,55,2
ft06,GAMIX,60,2
ft06,GAMIX,59,2
ft06,GAMIX,57,2
ft06,GAMIX,58,2
ft06,GAMIX,59,2
ft06,GAMIX,58,2
ft06,GAMIX,55,2
ft06,GAMIX,58,2
ft06,GAMIX,57,2
ft06,GA,60,2
ft06,GA,58,2
ft06,GA,57,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,57,2
ft06,GA,58,2
ft06,GA,57,2
ft06,GA,55,2
ft06,GA,55,2
ft06,GA,58,2
ft06,GA,55,2
ft06,GA,55,2
ft06,GA,55,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,57,2
ft06,GA,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,58,2
ft06,TS,55,2
ft06,TS,57,2
ft06,TS,55,2
ft06,TS,58,2
ft06,TS,55,2
ft06,TS,59,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,58,2
ft06,TS,59,2
ft06,TS,57,2
ft06,TS,55,2
ft06,TS,59,2
ft06,TS,58,2
ft06,TS,55,2
ft06,TS,59,2
ft10,GAKK,1040,2
ft10,GAKK,1081,2
ft10,GAKK,1086,2
ft10,GAKK,1053,2
ft10,GAKK,1061,2
ft10,GAKK,1008,2
ft10,GAKK,1045,2
ft10,GAKK,1048,2
ft10,GAKK,1041,2
ft10,GAKK,999,2
ft10,GAKK,1082,2
ft10,GAKK,1030,2
ft10,GAKK,1034,2
ft10,GAKK,1052,2
ft10,GAKK,1087,2
ft10,GAKK,1052,2
ft10,GAKK,1057,2
ft10,GAKK,1050,2
ft10,GAKK,1037,2
ft10,GAKK,1060,2
ft10,GASPT,1037,2
ft10,GASPT,1033,2
ft10,GASPT,1091,2
ft10,GASPT,1026,2
ft10,GASPT,1083,2
ft10,GASPT,1041,2
ft10,GASPT,992,2
ft10,GASPT,995,2
ft10,GASPT,1064,2
ft10,GASPT,991,2
ft10,GASPT,1068,2
ft10,GASPT,1069,2
