Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,57,4
ft06,GAKK,55,4
ft06,GAKK,57,4
ft06,GAKK,58,4
ft06,GAKK,55,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,55,4
ft06,GAKK,59,4
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,55,4
ft06,GAKK,58,4
ft06,GAKK,57,4
ft06,GAKK,57,4
ft06,GAKK,59,4
ft06,GASPT,55,4
ft06,GASPT,55,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,58,4
ft06,GASPT,57,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,57,4
ft06,GASPT,55,4
ft06,GASPT,60,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,55,4
ft06,GASPT,55,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GALPT,58,4
ft06,GALPT,58,4
ft06,GALPT,55,4
ft06,GALPT,59,4
ft06,GALPT,55,4
ft06,GALPT,58,4
ft06,GALPT,57,4
ft06,GALPT,55,4
ft06,GALPT,55,4
ft06,GALPT,59,4
ft06,GALPT,57,4
ft06,GALPT,58,4
ft06,GALPT,59,4
ft06,GALPT,59,4
ft06,GALPT,57,4
ft06,GALPT,55,4
ft06,GALPT,55,4
ft06,GALPT,59,4
ft06,GALPT,59,4
ft06,GALPT,55,4
ft06,GASRPT,59,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,58,4
ft06,GASRPT,56,4
ft06,GASRPT,58,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,58,4
ft06,GASRPT,59,4
ft06,GASRPT,58,4
ft06,GASRPT,57,4
ft06,GASRPT,55,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,59,4
ft06,GASRPT,55,4
ft06,GASRPT,59,4
ft06,GASRPT,59,4
ft06,GASRPT,58,4
ft06,GALRPT,55,4
ft06,GALRPT,58,4
ft06,GALRPT,58,4
ft06,GALRPT,58,4
ft06,GALRPT,58,4
ft06,GALRPT,58,4
ft06,GALRPT,59,4
ft06,GALRPT,57,4
ft06,GALRPT,59,4
ft06,GALRPT,55,4
ft06,GALRPT,59,4
ft06,GALRPT,57,4
ft06,GALRPT,59,4
ft06,GALRPT,57,4
ft06,GALRPT,55,4
ft06,GALRPT,55,4
ft06,GALRPT,58,4
ft06,GALRPT,58,4
ft06,GALRPT,59,4
ft06,GALRPT,58,4
ft06,GAMIX,58,4
ft06,GAMIX,57,4
ft06,GAMIX,59,4
ft06,GAMIX,55,4
ft06,GAMIX,59,4
ft06,GAMIX,58,4
ft06,GAMIX,59,4
ft06,GAMIX,57,4
ft06,GAMIX,59,4
ft06,GAMIX,56,4
ft06,GAMIX,59,4
ft06,GAMIX,55,4
ft06,GAMIX,59,4
ft06,GAMIX,59,4
ft06,GAMIX,59,4
ft06,GAMIX,55,4
ft06,GAMIX,58,4
ft06,GAMIX,59,4
ft06,GAMIX,58,4
ft06,GAMIX,58,4
ft06,GA,58,4
ft06,GA,55,4
ft06,GA,57,4
ft06,GA,58,4
ft06,GA,57,4
ft06,GA,57,4
ft06,GA,55,4
ft06,GA,55,4
ft06,GA,55,4
ft06,GA,57,4
ft06,GA,55,4
ft06,GA,58,4
ft06,GA,59,4
ft06,GA,55,4
ft06,GA,55,4
ft06,GA,59,4
ft06,GA,59,4
ft06,GA,59,4
ft06,GA,55,4
ft06,GA,55,4
ft06,TS,59,4
ft06,TS,63,4
ft06,TS,59,4
ft06,TS,62,4
ft06,TS,62,4
ft06,TS,60,4
ft06,TS,64,4
ft06,TS,59,4
ft06,TS,62,4
ft06,TS,62,4
ft06,TS,58,4
ft06,TS,62,4
ft06,TS,63,4
ft06,TS,59,4
ft06,TS,63,4
ft06,TS,55,4
ft06,TS,62,4
ft06,TS,60,4
ft06,TS,62,4
ft06,TS,62,4
ft10,GAKK,1039,4
ft10,GAKK,1077,4
ft10,GAKK,1080,4
ft10,GAKK,1042,4
ft10,GAKK,1068,4
ft10,GAKK,1023,4
ft10,GAKK,1075,4
ft10,GAKK,1059,4
ft10,GAKK,1042,4
ft10,GAKK,1029,4
ft10,GAKK,1071,4
ft10,GAKK,1044,4
ft10,GAKK,1045,4
ft10,GAKK,1054,4
ft10,GAKK,1026,4
ft10,GAKK,1069,4
ft10,GAKK,1119,4
ft10,GAKK,1076,4
ft10,GAKK,1059,4
ft10,GAKK,1084,4
ft10,GASPT,1102,4
ft10,GASPT,1071,4
ft10,GASPT,996,4
ft10,GASPT,989,4
ft10,GASPT,1103,4
ft10,GASPT,976,4
ft10,GASPT,1043,4
ft10,GASPT,995,4
ft10,GASPT,1078,4
ft10,GASPT,1098,4
ft10,GASPT,1080,4
