Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,58,1
ft06,GAKK,57,1
ft06,GAKK,55,1
ft06,GAKK,58,1
ft06,GAKK,58,1
ft06,GAKK,59,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,58,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,57,1
ft06,GAKK,60,1
ft06,GAKK,59,1
ft06,GAKK,58,1
ft06,GAKK,60,1
ft06,GAKK,58,1
ft06,GAKK,58,1
ft06,GASPT,60,1
ft06,GASPT,58,1
ft06,GASPT,57,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,57,1
ft06,GASPT,58,1
ft06,GASPT,57,1
ft06,GASPT,57,1
ft06,GASPT,55,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,60,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,55,1
ft06,GASPT,55,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GALPT,58,1
ft06,GALPT,55,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,61,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,57,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,60,1
ft06,GASRPT,57,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,58,1
ft06,GASRPT,57,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,58,1
ft06,GASRPT,55,1
ft06,GASRPT,56,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,59,1
ft06,GALRPT,55,1
ft06,GALRPT,57,1
ft06,GALRPT,59,1
ft06,GALRPT,59,1
ft06,GALRPT,55,1
ft06,GALRPT,59,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GALRPT,59,1
ft06,GALRPT,57,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,57,1
ft06,GALRPT,59,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GAMIX,55,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,55,1
ft06,GAMIX,58,1
ft06,GAMIX,55,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,55,1
ft06,GAMIX,58,1
ft06,GAMIX,59,1
ft06,GAMIX,55,1
ft06,GAMIX,55,1
ft06,GAMIX,55,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,58,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,55,1
ft06,GA,57,1
ft06,GA,59,1
ft06,GA,59,1
ft06,GA,58,1
ft06,GA,59,1
ft06,GA,59,1
ft06,GA,58,1
ft06,GA,59,1
ft06,GA,55,1
ft06,GA,57,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,57,1
ft06,GA,55,1
ft06,TS,57,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,55,1
ft06,TS,58,1
ft06,TS,59,1
ft06,TS,55,1
ft06,TS,59,1
ft06,TS,55,1
ft06,TS,59,1
ft06,TS,58,1
ft06,TS,58,1
ft10,GAKK,1051,1
ft10,GAKK,1097,1
ft10,GAKK,1072,1
ft10,GAKK,1042,1
ft10,GAKK,1065,1
ft10,GAKK,1062,1
ft10,GAKK,1062,1
ft10,GAKK,1043,1
ft10,GAKK,1028,1
ft10,GAKK,1068,1
ft10,GAKK,1055,1
ft10,GAKK,1018,1
ft10,GAKK,1015,1
ft10,GAKK,1012,1
ft10,GAKK,1061,1
ft10,GAKK,1093,1
ft10,GAKK,1069,1
ft10,GAKK,1080,1
ft10,GAKK,1036,1
ft10,GAKK,1065,1
ft10,GASPT,1089,1
ft10,GASPT,1040,1
ft10,GASPT,1026,1
ft10,GASPT,1050,1
ft10,GASPT,1055,1
ft10,GASPT,1085,1
ft10,GASPT,1028,1
ft10,GASPT,1024,1
ft10,GASPT,1032,1
ft10,GASPT,1007,1
ft10,GASPT,1081,1
ft10,GASPT,1009,1
ft10,GASPT,1045,1
ft10,GASPT,983,1
ft10,GASPT,1082,1
ft10,GASPT,1042,1
ft10,GASPT,1028,1
ft10,GASPT,1073,1
ft10,GASPT,1046,1
ft10,GASPT,1046,1
ft10,GALPT,1094,1
ft10,GALPT,1069,1
ft10,GALPT,1011,1
ft10,GALPT,1036,1
ft10,GALPT,1000,1
ft10,GALPT,1054,1
ft10,GALPT,1009,1
ft10,GALPT,1093,1
ft10,GALPT,1078,1
ft10,GALPT,1080,1
ft10,GALPT,1029,1
ft10,GALPT,1063,1
ft10,GALPT,1020,1
ft10,GALPT,1122,1
ft10,GALPT,1051,1
ft10,GALPT,1067,1
ft10,GALPT,1044,1
ft10,GALPT,1078,1
ft10,GALPT,1054,1
ft10,GALPT,1049,1
ft10,GASRPT,1052,1
ft10,GASRPT,1074,1
ft10,GASRPT,1068,1
ft10,GASRPT,1018,1
ft10,GASRPT,1077,1
ft10,GASRPT,1030,1
ft10,GASRPT,1046,1
ft10,GASRPT,1060,1
ft10,GASRPT,1077,1
ft10,GASRPT,1015,1
ft10,GASRPT,1087,1
ft10,GASRPT,1058,1
ft10,GASRPT,1047,1
ft10,GASRPT,1051,1
ft10,GASRPT,1033,1
ft10,GASRPT,999,1
ft10,GASRPT,1062,1
ft10,GASRPT,1059,1
ft10,GASRPT,1048,1
ft10,GASRPT,1031,1
ft10,GALRPT,1013,1
ft10,GALRPT,1081,1
ft10,GALRPT,1037,1
ft10,GALRPT,1059,1
ft10,GALRPT,1050,1
ft10,GALRPT,1078,1
ft10,GALRPT,1027,1
ft10,GALRPT,1120,1
ft10,GALRPT,1087,1
ft10,GALRPT,1050,1
ft10,GALRPT,1031,1
ft10,GALRPT,1068,1
ft10,GALRPT,1028,1
ft10,GALRPT,991,1
ft10,GALRPT,1070,1
ft10,GALRPT,1008,1
ft10,GALRPT,1020,1
ft10,GALRPT,1057,1
ft10,GALRPT,1031,1
ft10,GALRPT,1048,1
ft10,GAMIX,1052,1
ft10,GAMIX,1047,1
ft10,GAMIX,1045,1
ft10,GAMIX,1063,1
ft10,GAMIX,1099,1
ft10,GAMIX,1093,1
ft10,GAMIX,1038,1
ft10,GAMIX,1021,1
ft10,GAMIX,1037,1
ft10,GAMIX,1129,1
ft10,GAMIX,1014,1
ft10,GAMIX,1069,1
ft10,GAMIX,1059,1
ft10,GAMIX,1006,1
ft10,GAMIX,1122,1
ft10,GAMIX,1061,1
ft10,GAMIX,1121,1
ft10,GAMIX,1127,1
ft10,GAMIX,1113,1
ft10,GAMIX,1008,1
ft10,GA,1030,1
ft10,GA,1053,1
ft10,GA,1020,1
ft10,GA,1089,1
ft10,GA,1016,1
ft10,GA,1071,1
ft10,GA,1068,1
ft10,GA,1034,1
ft10,GA,1069,1
ft10,GA,1043,1
ft10,GA,1107,1
ft10,GA,1007,1
ft10,GA,1052,1
ft10,GA,990,1
ft10,GA,1055,1
ft10,GA,1038,1
ft10,GA,1008,1
ft10,GA,1064,1
ft10,GA,1045,1
ft10,GA,1046,1
ft10,TS,1089,1
ft10,TS,1062,1
ft10,TS,1022,1
ft10,TS,1040,1
ft10,TS,1058,1
ft10,TS,1018,1
ft10,TS,1055,1
ft10,TS,1100,1
ft10,TS,1115,1
ft10,TS,1061,1
ft10,TS,1101,1
ft10,TS,1087,1
ft10,TS,1047,1
ft10,TS,1105,1
ft10,TS,1075,1
ft10,TS,1080,1
ft10,TS,1081,1
ft10,TS,1088,1
ft10,TS,1056,1
ft10,TS,1057,1
ft20,GAKK,1329,1
ft20,GAKK,1355,1
ft20,GAKK,1302,1
ft20,GAKK,1307,1
ft20,GAKK,1309,1
ft20,GAKK,1293,1
ft20,GAKK,1392,1
ft20,GAKK,1308,1
ft20,GAKK,1292,1
ft20,GAKK,1332,1
ft20,GAKK,1314,1
ft20,GAKK,1319,1
ft20,GAKK,1298,1
ft20,GAKK,1348,1
ft20,GAKK,1285,1
ft20,GAKK,1367,1
ft20,GAKK,1353,1
ft20,GAKK,1311,1
ft20,GAKK,1308,1
ft20,GAKK,1286,1
ft20,GASPT,1322,1
ft20,GASPT,1298,1
ft20,GASPT,1303,1
ft20,GASPT,1318,1
ft20,GASPT,1320,1
ft20,GASPT,1336,1
