Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,55,3
ft06,GAKK,57,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,57,3
ft06,GAKK,57,3
ft06,GAKK,55,3
ft06,GAKK,59,3
ft06,GAKK,55,3
ft06,GAKK,57,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,57,3
ft06,GAKK,58,3
ft06,GAKK,59,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GASPT,55,3
ft06,GASPT,58,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,59,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,59,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,58,3
ft06,GASPT,57,3
ft06,GASPT,59,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,58,3
ft06,GALPT,58,3
ft06,GALPT,59,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,57,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,57,3
ft06,GALPT,55,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,58,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GASRPT,57,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,57,3
ft06,GALRPT,57,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GALRPT,57,3
ft06,GALRPT,58,3
ft06,GAMIX,58,3
ft06,GAMIX,59,3
ft06,GAMIX,58,3
ft06,GAMIX,59,3
ft06,GAMIX,57,3
ft06,GAMIX,59,3
ft06,GAMIX,55,3
ft06,GAMIX,59,3
ft06,GAMIX,59,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,59,3
ft06,GAMIX,57,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,58,3
ft06,GAMIX,57,3
ft06,GAMIX,58,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GA,59,3
ft06,GA,57,3
ft06,GA,57,3
ft06,GA,57,3
ft06,GA,59,3
ft06,GA,55,3
ft06,GA,58,3
ft06,GA,58,3
ft06,GA,59,3
ft06,GA,59,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,57,3
ft06,GA,59,3
ft06,GA,55,3
ft06,GA,55,3
ft06,GA,57,3
ft06,GA,55,3
ft06,TS,62,3
ft06,TS,66,3
ft06,TS,62,3
ft06,TS,60,3
ft06,TS,55,3
ft06,TS,63,3
ft06,TS,62,3
ft06,TS,62,3
ft06,TS,62,3
ft06,TS,55,3
ft06,TS,57,3
ft06,TS,59,3
ft06,TS,60,3
ft06,TS,62,3
ft06,TS,60,3
ft06,TS,60,3
ft06,TS,58,3
ft06,TS,62,3
ft06,TS,59,3
ft06,TS,59,3
ft10,GAKK,1018,3
ft10,GAKK,1041,3
ft10,GAKK,1052,3
ft10,GAKK,1035,3
ft10,GAKK,1022,3
ft10,GAKK,1032,3
ft10,GAKK,1054,3
ft10,GAKK,1045,3
ft10,GAKK,1059,3
ft10,GAKK,1051,3
ft10,GAKK,1030,3
ft10,GAKK,1107,3
ft10,GAKK,1018,3
ft10,GAKK,1078,3
ft10,GAKK,980,3
ft10,GAKK,1040,3
ft10,GAKK,1023,3
ft10,GAKK,1051,3
ft10,GAKK,1043,3
ft10,GAKK,1005,3
ft10,GASPT,1045,3
ft10,GASPT,1070,3
ft10,GASPT,1080,3
ft10,GASPT,1105,3
ft10,GASPT,1060,3
ft10,GASPT,1030,3
ft10,GASPT,987,3
ft10,GASPT,1072,3
ft10,GASPT,1085,3
ft10,GASPT,1048,3
ft10,GASPT,1066,3
ft10,GASPT,1036,3
ft10,GASPT,1099,3
ft10,GASPT,1060,3
ft10,GASPT,1057,3
ft10,GASPT,1028,3
ft10,GASPT,1042,3
ft10,GASPT,1034,3
ft10,GASPT,1009,3
ft10,GASPT,1076,3
ft10,GALPT,1052,3
ft10,GALPT,1064,3
ft10,GALPT,1099,3
ft10,GALPT,1019,3
ft10,GALPT,1088,3
ft10,GALPT,1045,3
ft10,GALPT,1077,3
ft10,GALPT,1030,3
ft10,GALPT,1007,3
ft10,GALPT,1016,3
ft10,GALPT,1017,3
ft10,GALPT,1022,3
ft10,GALPT,1053,3
ft10,GALPT,1055,3
ft10,GALPT,1020,3
ft10,GALPT,1075,3
ft10,GALPT,1097,3
ft10,GALPT,1100,3
ft10,GALPT,1118,3
ft10,GALPT,1094,3
ft10,GASRPT,1094,3
ft10,GASRPT,997,3
ft10,GASRPT,1061,3
ft10,GASRPT,1059,3
ft10,GASRPT,1065,3
ft10,GASRPT,1057,3
ft10,GASRPT,980,3
ft10,GASRPT,1007,3
ft10,GASRPT,992,3
ft10,GASRPT,986,3
ft10,GASRPT,1022,3
ft10,GASRPT,1080,3
ft10,GASRPT,1110,3
ft10,GASRPT,1067,3
ft10,GASRPT,1069,3
ft10,GASRPT,1047,3
ft10,GASRPT,1087,3
ft10,GASRPT,1043,3
ft10,GASRPT,1006,3
ft10,GASRPT,1075,3
ft10,GALRPT,1050,3
ft10,GALRPT,1048,3
ft10,GALRPT,1035,3
ft10,GALRPT,1051,3
ft10,GALRPT,1103,3
ft10,GALRPT,1035,3
ft10,GALRPT,1021,3
ft10,GALRPT,1008,3
ft10,GALRPT,1080,3
ft10,GALRPT,1041,3
ft10,GALRPT,1046,3
ft10,GALRPT,1015,3
ft10,GALRPT,978,3
ft10,GALRPT,1077,3
ft10,GALRPT,987,3
ft10,GALRPT,1058,3
ft10,GALRPT,1087,3
ft10,GALRPT,1034,3
ft10,GALRPT,1029,3
ft10,GALRPT,1049,3
ft10,GAMIX,974,3
ft10,GAMIX,1085,3
ft10,GAMIX,1075,3
ft10,GAMIX,1075,3
ft10,GAMIX,1061,3
ft10,GAMIX,1050,3
ft10,GAMIX,1075,3
ft10,GAMIX,1026,3
ft10,GAMIX,1028,3
ft10,GAMIX,1006,3
ft10,GAMIX,1021,3
ft10,GAMIX,1102,3
ft10,GAMIX,1055,3
ft10,GAMIX,1069,3
ft10,GAMIX,1028,3
ft10,GAMIX,1062,3
ft10,GAMIX,1096,3
ft10,GAMIX,1078,3
ft10,GAMIX,1014,3
ft10,GAMIX,1044,3
ft10,GA,1024,3
ft10,GA,1074,3
ft10,GA,1021,3
ft10,GA,978,3
ft10,GA,1007,3
ft10,GA,1026,3
ft10,GA,1052,3
ft10,GA,1074,3
ft10,GA,1085,3
ft10,GA,1011,3
ft10,GA,1007,3
ft10,GA,1099,3
ft10,GA,1076,3
ft10,GA,997,3
ft10,GA,1030,3
ft10,GA,1052,3
ft10,GA,1046,3
ft10,GA,1041,3
ft10,GA,1082,3
ft10,GA,1021,3
ft10,TS,1227,3
ft10,TS,1250,3
ft10,TS,1270,3
ft10,TS,1183,3
ft10,TS,1195,3
ft10,TS,1182,3
ft10,TS,1243,3
ft10,TS,1212,3
ft10,TS,1222,3
ft10,TS,1268,3
ft10,TS,1210,3
ft10,TS,1250,3
ft10,TS,1316,3
ft10,TS,1211,3
ft10,TS,1238,3
ft10,TS,1164,3
ft10,TS,1187,3
ft10,TS,1248,3
ft10,TS,1169,3
ft10,TS,1224,3
ft20,GAKK,1292,3
ft20,GAKK,1317,3
ft20,GAKK,1371,3
ft20,GAKK,1336,3
ft20,GAKK,1373,3
ft20,GAKK,1288,3
ft20,GAKK,1327,3
ft20,GAKK,1265,3
ft20,GAKK,1346,3
ft20,GAKK,1363,3
ft20,GAKK,1355,3
ft20,GAKK,1366,3
ft20,GAKK,1310,3
ft20,GAKK,1292,3
ft20,GAKK,1322,3
ft20,GAKK,1286,3
ft20,GAKK,1375,3
ft20,GAKK,1370,3
ft20,GAKK,1320,3
ft20,GAKK,1304,3
ft20,GASPT,1286,3
ft20,GASPT,1266,3
ft20,GASPT,1319,3
ft20,GASPT,1302,3
ft20,GASPT,1318,3
ft20,GASPT,1321,3
ft20,GASPT,1283,3
ft20,GASPT,1421,3
ft20,GASPT,1301,3
ft20,GASPT,1320,3
ft20,GASPT,1283,3
ft20,GASPT,1340,3
ft20,GASPT,1296,3
ft20,GASPT,1325,3
ft20,GASPT,1372,3
ft20,GASPT,1293,3
ft20,GASPT,1369,3
ft20,GASPT,1316,3
ft20,GASPT,1373,3
ft20,GASPT,1342,3
ft20,GALPT,1315,3
ft20,GALPT,1315,3
ft20,GALPT,1347,3
ft20,GALPT,1313,3
ft20,GALPT,1347,3
ft20,GALPT,1335,3
ft20,GALPT,1280,3
ft20,GALPT,1326,3
ft20,GALPT,1338,3
ft20,GALPT,1335,3
ft20,GALPT,1311,3
ft20,GALPT,1326,3
ft20,GALPT,1318,3
ft20,GALPT,1360,3
ft20,GALPT,1308,3
ft20,GALPT,1361,3
ft20,GALPT,1312,3
ft20,GALPT,1259,3
ft20,GALPT,1288,3
ft20,GALPT,1324,3
ft20,GASRPT,1336,3
ft20,GASRPT,1284,3
ft20,GASRPT,1316,3
ft20,GASRPT,1328,3
ft20,GASRPT,1302,3
ft20,GASRPT,1298,3
ft20,GASRPT,1305,3
ft20,GASRPT,1295,3
ft20,GASRPT,1325,3
ft20,GASRPT,1315,3
ft20,GASRPT,1342,3
ft20,GASRPT,1329,3
ft20,GASRPT,1308,3
ft20,GASRPT,1284,3
ft20,GASRPT,1345,3
ft20,GASRPT,1316,3
ft20,GASRPT,1318,3
ft20,GASRPT,1301,3
ft20,GASRPT,1323,3
ft20,GASRPT,1361,3
ft20,GALRPT,1284,3
ft20,GALRPT,1265,3
ft20,GALRPT,1310,3
ft20,GALRPT,1357,3
ft20,GALRPT,1281,3
ft20,GALRPT,1262,3
ft20,GALRPT,1317,3
ft20,GALRPT,1322,3
ft20,GALRPT,1332,3
ft20,GALRPT,1289,3
ft20,GALRPT,1383,3
ft20,GALRPT,1327,3
ft20,GALRPT,1326,3
ft20,GALRPT,1305,3
ft20,GALRPT,1311,3
ft20,GALRPT,1351,3
ft20,GALRPT,1304,3
ft20,GALRPT,1363,3
ft20,GALRPT,1309,3
ft20,GALRPT,1292,3
ft20,GAMIX,1289,3
ft20,GAMIX,1278,3
ft20,GAMIX,1315,3
ft20,GAMIX,1396,3
ft20,GAMIX,1317,3
ft20,GAMIX,1288,3
ft20,GAMIX,1366,3
ft20,GAMIX,1314,3
ft20,GAMIX,1350,3
ft20,GAMIX,1284,3
ft20,GAMIX,1307,3
ft20,GAMIX,1317,3
ft20,GAMIX,1324,3
ft20,GAMIX,1335,3
ft20,GAMIX,1294,3
ft20,GAMIX,1402,3
ft20,GAMIX,1299,3
ft20,GAMIX,1325,3
ft20,GAMIX,1245,3
ft20,GAMIX,1320,3
ft20,GA,1291,3
ft20,GA,1376,3
ft20,GA,1319,3
ft20,GA,1321,3
ft20,GA,1271,3
ft20,GA,1324,3
ft20,GA,1379,3
ft20,GA,1375,3
ft20,GA,1316,3
ft20,GA,1313,3
ft20,GA,1310,3
ft20,GA,1325,3
ft20,GA,1260,3
ft20,GA,1335,3
ft20,GA,1326,3
ft20,GA,1308,3
ft20,GA,1323,3
ft20,GA,1396,3
ft20,GA,1327,3
ft20,GA,1308,3
ft20,TS,1490,3
ft20,TS,1489,3
ft20,TS,1555,3
ft20,TS,1533,3
ft20,TS,1562,3
ft20,TS,1545,3
ft20,TS,1499,3
ft20,TS,1522,3
ft20,TS,1548,3
ft20,TS,1622,3
ft20,TS,1453,3
ft20,TS,1467,3
ft20,TS,1555,3
ft20,TS,1522,3
ft20,TS,1478,3
ft20,TS,1596,3
ft20,TS,1464,3
ft20,TS,1653,3
ft20,TS,1518,3
ft20,TS,1485,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,678,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,670,3
la01,GAKK,667,3
la01,GAKK,688,3
la01,GAKK,666,3
la01,GAKK,692,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
la01,GAKK,666,3
