Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,59,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,58,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,58,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,59,2
ft06,GAKK,57,2
ft06,GAKK,59,2
ft06,GAKK,58,2
ft06,GAKK,55,2
ft06,GAKK,58,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,59,2
ft06,GASPT,57,2
ft06,GASPT,55,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,57,2
ft06,GASPT,57,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,58,2
ft06,GASPT,57,2
ft06,GASPT,58,2
ft06,GALPT,57,2
ft06,GALPT,55,2
ft06,GALPT,57,2
ft06,GALPT,57,2
ft06,GALPT,58,2
ft06,GALPT,55,2
ft06,GALPT,57,2
ft06,GALPT,55,2
ft06,GALPT,58,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,58,2
ft06,GALPT,58,2
ft06,GALPT,55,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,59,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,57,2
ft06,GASRPT,57,2
ft06,GASRPT,57,2
ft06,GASRPT,57,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,55,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,57,2
ft06,GALRPT,58,2
ft06,GALRPT,57,2
ft06,GALRPT,55,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,57,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,58,2
ft06,GALRPT,59,2
ft06,GALRPT,57,2
ft06,GALRPT,59,2
ft06,GALRPT,57,2
ft06,GAMIX,58,2
ft06,GAMIX,55,2
ft06,GAMIX,57,2
ft06,GAMIX,55,2
ft06,GAMIX,59,2
ft06,GAMIX,55,2
ft06,GAMIX,55,2
ft06,GAMIX,58,2
ft06,GAMIX,58,2
ft06,GAMIX,55,2
ft06,GAMIX,59,2
ft06,GAMIX,58,2
ft06,GAMIX,57,2
ft06,GAMIX,59,2
ft06,GAMIX,58,2
ft06,GAMIX,55,2
ft06,GAMIX,57,2
ft06,GAMIX,55,2
ft06,GAMIX,58,2
ft06,GAMIX,57,2
ft06,GA,59,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,55,2
ft06,GA,55,2
ft06,GA,57,2
ft06,GA,55,2
ft06,GA,58,2
ft06,GA,59,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,55,2
ft06,GA,57,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,58,2
ft06,GA,55,2
ft06,GA,57,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft06,TS,55,2
ft10,GAKK,1012,2
ft10,GAKK,1081,2
ft10,GAKK,1118,2
ft10,GAKK,1050,2
ft10,GAKK,1015,2
ft10,GAKK,1113,2
ft10,GAKK,1058,2
ft10,GAKK,1008,2
ft10,GAKK,1064,2
ft10,GAKK,1043,2
ft10,GAKK,1017,2
ft10,GAKK,1033,2
ft10,GAKK,1046,2
ft10,GAKK,1066,2
ft10,GAKK,1061,2
ft10,GAKK,1049,2
ft10,GAKK,1060,2
ft10,GAKK,993,2
ft10,GAKK,1081,2
ft10,GAKK,1066,2
ft10,GASPT,1057,2
ft10,GASPT,1059,2
ft10,GASPT,1043,2
ft10,GASPT,1031,2
ft10,GASPT,1028,2
ft10,GASPT,1144,2
ft10,GASPT,1051,2
ft10,GASPT,1028,2
ft10,GASPT,1100,2
ft10,GASPT,1043,2
ft10,GASPT,1051,2
ft10,GASPT,1054,2
ft10,GASPT,1042,2
ft10,GASPT,1074,2
ft10,GASPT,1019,2
ft10,GASPT,1024,2
ft10,GASPT,1000,2
ft10,GASPT,1095,2
ft10,GASPT,1016,2
ft10,GASPT,1025,2
ft10,GALPT,1067,2
ft10,GALPT,1051,2
ft10,GALPT,1018,2
ft10,GALPT,1063,2
ft10,GALPT,1059,2
ft10,GALPT,1018,2
ft10,GALPT,1033,2
ft10,GALPT,1018,2
ft10,GALPT,1098,2
ft10,GALPT,985,2
ft10,GALPT,1011,2
ft10,GALPT,1042,2
ft10,GALPT,1093,2
ft10,GALPT,999,2
ft10,GALPT,1077,2
ft10,GALPT,1062,2
ft10,GALPT,1096,2
ft10,GALPT,1101,2
ft10,GALPT,1036,2
ft10,GALPT,1012,2
ft10,GASRPT,1032,2
ft10,GASRPT,1044,2
ft10,GASRPT,1043,2
ft10,GASRPT,1037,2
ft10,GASRPT,1061,2
ft10,GASRPT,1006,2
ft10,GASRPT,1068,2
ft10,GASRPT,1091,2
ft10,GASRPT,1068,2
ft10,GASRPT,1063,2
ft10,GASRPT,1084,2
ft10,GASRPT,1019,2
ft10,GASRPT,1084,2
ft10,GASRPT,1030,2
ft10,GASRPT,1064,2
ft10,GASRPT,1111,2
ft10,GASRPT,1073,2
ft10,GASRPT,1080,2
ft10,GASRPT,1058,2
ft10,GASRPT,1061,2
ft10,GALRPT,1054,2
ft10,GALRPT,1043,2
ft10,GALRPT,1064,2
ft10,GALRPT,1004,2
ft10,GALRPT,1058,2
ft10,GALRPT,1059,2
ft10,GALRPT,980,2
ft10,GALRPT,1038,2
ft10,GALRPT,1061,2
ft10,GALRPT,1027,2
ft10,GALRPT,1084,2
ft10,GALRPT,1073,2
ft10,GALRPT,1034,2
ft10,GALRPT,1023,2
ft10,GALRPT,1100,2
ft10,GALRPT,1088,2
ft10,GALRPT,1052,2
ft10,GALRPT,1009,2
ft10,GALRPT,1134,2
ft10,GALRPT,1070,2
ft10,GAMIX,1101,2
ft10,GAMIX,1023,2
ft10,GAMIX,1019,2
ft10,GAMIX,1117,2
ft10,GAMIX,1072,2
ft10,GAMIX,1058,2
ft10,GAMIX,1059,2
ft10,GAMIX,1068,2
ft10,GAMIX,1097,2
ft10,GAMIX,1037,2
ft10,GAMIX,1023,2
ft10,GAMIX,1057,2
ft10,GAMIX,1071,2
ft10,GAMIX,1077,2
ft10,GAMIX,1051,2
ft10,GAMIX,1070,2
ft10,GAMIX,1047,2
ft10,GAMIX,1107,2
ft10,GAMIX,1035,2
ft10,GAMIX,1081,2
ft10,GA,1113,2
ft10,GA,1121,2
ft10,GA,1036,2
ft10,GA,1074,2
ft10,GA,1069,2
ft10,GA,1038,2
ft10,GA,1098,2
ft10,GA,1092,2
ft10,GA,1071,2
ft10,GA,1049,2
ft10,GA,977,2
ft10,GA,1019,2
ft10,GA,1067,2
ft10,GA,1110,2
ft10,GA,1043,2
ft10,GA,1067,2
ft10,GA,1037,2
ft10,GA,1044,2
ft10,GA,1053,2
ft10,GA,1091,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1132,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft10,TS,1119,2
ft20,GAKK,1316,2
ft20,GAKK,1306,2
ft20,GAKK,1345,2
ft20,GAKK,1270,2
ft20,GAKK,1325,2
ft20,GAKK,1254,2
ft20,GAKK,1316,2
ft20,GAKK,1285,2
ft20,GAKK,1270,2
ft20,GAKK,1349,2
ft20,GAKK,1325,2
ft20,GAKK,1326,2
ft20,GAKK,1344,2
ft20,GAKK,1341,2
ft20,GAKK,1323,2
ft20,GAKK,1331,2
ft20,GAKK,1340,2
ft20,GAKK,1342,2
ft20,GAKK,1375,2
ft20,GAKK,1332,2
ft20,GASPT,1325,2
ft20,GASPT,1302,2
ft20,GASPT,1332,2
ft20,GASPT,1346,2
ft20,GASPT,1340,2
ft20,GASPT,1321,2
ft20,GASPT,1314,2
ft20,GASPT,1315,2
