Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,55,1
ft06,GAKK,59,1
ft06,GAKK,57,1
ft06,GAKK,57,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,59,1
ft06,GAKK,59,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,59,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,58,1
ft06,GAKK,58,1
ft06,GAKK,57,1
ft06,GAKK,57,1
ft06,GASPT,55,1
ft06,GASPT,58,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,58,1
ft06,GASPT,57,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,58,1
ft06,GASPT,57,1
ft06,GASPT,57,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,57,1
ft06,GASPT,55,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,57,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,58,1
ft06,GALPT,55,1
ft06,GALPT,58,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,57,1
ft06,GALPT,59,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,57,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GASRPT,58,1
ft06,GASRPT,57,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,58,1
ft06,GASRPT,58,1
ft06,GASRPT,58,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,57,1
ft06,GASRPT,58,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GASRPT,58,1
ft06,GASRPT,59,1
ft06,GASRPT,59,1
ft06,GALRPT,55,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GALRPT,57,1
ft06,GALRPT,59,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,59,1
ft06,GALRPT,59,1
ft06,GALRPT,55,1
ft06,GALRPT,60,1
ft06,GALRPT,55,1
ft06,GALRPT,59,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,57,1
ft06,GAMIX,58,1
ft06,GAMIX,58,1
ft06,GAMIX,58,1
ft06,GAMIX,58,1
ft06,GAMIX,59,1
ft06,GAMIX,58,1
ft06,GAMIX,55,1
ft06,GAMIX,55,1
ft06,GAMIX,57,1
ft06,GAMIX,57,1
ft06,GAMIX,57,1
ft06,GAMIX,55,1
ft06,GAMIX,58,1
ft06,GAMIX,55,1
ft06,GAMIX,55,1
ft06,GAMIX,58,1
ft06,GAMIX,59,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,58,1
ft06,GA,59,1
ft06,GA,55,1
ft06,GA,60,1
ft06,GA,55,1
ft06,GA,57,1
ft06,GA,58,1
ft06,GA,57,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,59,1
ft06,GA,59,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,57,1
ft06,GA,58,1
ft06,GA,55,1
ft06,GA,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft06,TS,59,1
ft10,GAKK,1007,1
ft10,GAKK,1030,1
ft10,GAKK,1005,1
ft10,GAKK,1080,1
ft10,GAKK,998,1
ft10,GAKK,1065,1
ft10,GAKK,1018,1
ft10,GAKK,1094,1
ft10,GAKK,1047,1
ft10,GAKK,999,1
ft10,GAKK,1062,1
ft10,GAKK,1073,1
ft10,GAKK,1032,1
ft10,GAKK,1065,1
ft10,GAKK,1125,1
ft10,GAKK,1063,1
ft10,GAKK,1060,1
ft10,GAKK,1045,1
ft10,GAKK,1090,1
ft10,GAKK,1035,1
ft10,GASPT,1079,1
ft10,GASPT,1054,1
ft10,GASPT,1093,1
ft10,GASPT,1049,1
ft10,GASPT,1033,1
ft10,GASPT,1048,1
ft10,GASPT,1037,1
ft10,GASPT,1062,1
ft10,GASPT,1041,1
ft10,GASPT,1098,1
ft10,GASPT,1036,1
ft10,GASPT,1070,1
ft10,GASPT,1066,1
ft10,GASPT,1059,1
ft10,GASPT,1058,1
ft10,GASPT,1072,1
ft10,GASPT,1082,1
ft10,GASPT,1048,1
ft10,GASPT,1065,1
ft10,GASPT,1044,1
ft10,GALPT,1044,1
ft10,GALPT,1067,1
ft10,GALPT,1043,1
ft10,GALPT,1092,1
ft10,GALPT,1018,1
ft10,GALPT,1040,1
ft10,GALPT,1022,1
ft10,GALPT,1005,1
ft10,GALPT,1029,1
ft10,GALPT,1077,1
ft10,GALPT,1051,1
ft10,GALPT,1038,1
ft10,GALPT,1053,1
ft10,GALPT,990,1
ft10,GALPT,1024,1
ft10,GALPT,1061,1
ft10,GALPT,1030,1
ft10,GALPT,1028,1
ft10,GALPT,1044,1
ft10,GALPT,1038,1
ft10,GASRPT,1062,1
ft10,GASRPT,1013,1
ft10,GASRPT,1012,1
ft10,GASRPT,1031,1
ft10,GASRPT,1022,1
ft10,GASRPT,1057,1
ft10,GASRPT,1050,1
ft10,GASRPT,1057,1
ft10,GASRPT,975,1
ft10,GASRPT,998,1
ft10,GASRPT,1010,1
ft10,GASRPT,1060,1
ft10,GASRPT,1010,1
ft10,GASRPT,1037,1
ft10,GASRPT,1090,1
ft10,GASRPT,1112,1
ft10,GASRPT,1161,1
ft10,GASRPT,1040,1
ft10,GASRPT,1054,1
ft10,GASRPT,1086,1
ft10,GALRPT,1018,1
ft10,GALRPT,1037,1
ft10,GALRPT,1016,1
ft10,GALRPT,1067,1
ft10,GALRPT,1025,1
ft10,GALRPT,1046,1
ft10,GALRPT,1030,1
ft10,GALRPT,1072,1
ft10,GALRPT,1019,1
ft10,GALRPT,1013,1
ft10,GALRPT,1071,1
ft10,GALRPT,1041,1
ft10,GALRPT,1043,1
ft10,GALRPT,1036,1
ft10,GALRPT,1050,1
ft10,GALRPT,1023,1
ft10,GALRPT,1025,1
ft10,GALRPT,1005,1
ft10,GALRPT,1040,1
ft10,GALRPT,1033,1
ft10,GAMIX,1041,1
ft10,GAMIX,1035,1
ft10,GAMIX,1065,1
ft10,GAMIX,1083,1
ft10,GAMIX,1114,1
ft10,GAMIX,1056,1
ft10,GAMIX,1011,1
ft10,GAMIX,1049,1
ft10,GAMIX,1082,1
ft10,GAMIX,1059,1
ft10,GAMIX,1013,1
ft10,GAMIX,1019,1
ft10,GAMIX,1043,1
ft10,GAMIX,1058,1
ft10,GAMIX,1034,1
ft10,GAMIX,1090,1
ft10,GAMIX,1001,1
ft10,GAMIX,1067,1
ft10,GAMIX,1121,1
ft10,GAMIX,999,1
ft10,GA,1089,1
ft10,GA,1029,1
ft10,GA,1058,1
ft10,GA,1136,1
ft10,GA,1103,1
ft10,GA,1000,1
ft10,GA,1013,1
ft10,GA,1032,1
ft10,GA,1065,1
ft10,GA,1061,1
ft10,GA,1018,1
ft10,GA,1057,1
ft10,GA,1035,1
ft10,GA,1059,1
ft10,GA,1015,1
ft10,GA,1092,1
ft10,GA,1036,1
ft10,GA,1106,1
ft10,GA,1028,1
ft10,GA,995,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1045,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft10,TS,1138,1
ft20,GAKK,1376,1
ft20,GAKK,1213,1
ft20,GAKK,1333,1
ft20,GAKK,1316,1
ft20,GAKK,1305,1
ft20,GAKK,1336,1
ft20,GAKK,1351,1
ft20,GAKK,1289,1
ft20,GAKK,1306,1
ft20,GAKK,1297,1
ft20,GAKK,1316,1
ft20,GAKK,1398,1
ft20,GAKK,1317,1
ft20,GAKK,1320,1
ft20,GAKK,1279,1
ft20,GAKK,1311,1
ft20,GAKK,1338,1
ft20,GAKK,1300,1
ft20,GAKK,1349,1
ft20,GAKK,1310,1
ft20,GASPT,1289,1
ft20,GASPT,1326,1
ft20,GASPT,1297,1
ft20,GASPT,1355,1
ft20,GASPT,1295,1
ft20,GASPT,1412,1
ft20,GASPT,1287,1
ft20,GASPT,1319,1
ft20,GASPT,1383,1
ft20,GASPT,1321,1
ft20,GASPT,1325,1
ft20,GASPT,1276,1
ft20,GASPT,1354,1
ft20,GASPT,1339,1
ft20,GASPT,1341,1
ft20,GASPT,1343,1
ft20,GASPT,1374,1
ft20,GASPT,1319,1
ft20,GASPT,1318,1
ft20,GASPT,1275,1
ft20,GALPT,1302,1
ft20,GALPT,1374,1
ft20,GALPT,1301,1
ft20,GALPT,1328,1
ft20,GALPT,1385,1
ft20,GALPT,1319,1
ft20,GALPT,1304,1
ft20,GALPT,1291,1
ft20,GALPT,1315,1
ft20,GALPT,1321,1
ft20,GALPT,1328,1
ft20,GALPT,1322,1
ft20,GALPT,1289,1
ft20,GALPT,1366,1
ft20,GALPT,1314,1
ft20,GALPT,1320,1
ft20,GALPT,1327,1
ft20,GALPT,1281,1
ft20,GALPT,1341,1
ft20,GALPT,1298,1
ft20,GASRPT,1373,1
ft20,GASRPT,1374,1
ft20,GASRPT,1338,1
ft20,GASRPT,1326,1
ft20,GASRPT,1308,1
ft20,GASRPT,1348,1
ft20,GASRPT,1279,1
ft20,GASRPT,1295,1
ft20,GASRPT,1326,1
ft20,GASRPT,1328,1
ft20,GASRPT,1284,1
ft20,GASRPT,1281,1
ft20,GASRPT,1309,1
ft20,GASRPT,1334,1
ft20,GASRPT,1376,1
ft20,GASRPT,1310,1
ft20,GASRPT,1356,1
ft20,GASRPT,1334,1
ft20,GASRPT,1348,1
ft20,GASRPT,1386,1
ft20,GALRPT,1337,1
ft20,GALRPT,1321,1
ft20,GALRPT,1263,1
ft20,GALRPT,1349,1
ft20,GALRPT,1330,1
ft20,GALRPT,1304,1
ft20,GALRPT,1317,1
ft20,GALRPT,1363,1
ft20,GALRPT,1349,1
ft20,GALRPT,1359,1
ft20,GALRPT,1352,1
ft20,GALRPT,1267,1
ft20,GALRPT,1379,1
ft20,GALRPT,1338,1
ft20,GALRPT,1373,1
ft20,GALRPT,1289,1
ft20,GALRPT,1270,1
ft20,GALRPT,1367,1
ft20,GALRPT,1318,1
ft20,GALRPT,1329,1
ft20,GAMIX,1319,1
ft20,GAMIX,1368,1
ft20,GAMIX,1289,1
ft20,GAMIX,1310,1
ft20,GAMIX,1401,1
ft20,GAMIX,1340,1
ft20,GAMIX,1400,1
ft20,GAMIX,1294,1
