Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,57,0
ft06,GAKK,58,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GASPT,57,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,58,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,57,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GALPT,57,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,57,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,57,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,57,0
ft06,GALRPT,57,0
ft06,GALRPT,57,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,58,0
ft06,GALRPT,58,0
ft06,GALRPT,57,0
ft06,GALRPT,55,0
ft06,GALRPT,57,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,57,0
ft06,GALRPT,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,58,0
ft06,GAMIX,57,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,57,0
ft06,GAMIX,55,0
ft06,GAMIX,58,0
ft06,GAMIX,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
