Instance,Variant,Best Makespan,Scenario
ft06,KK,55,0
ft06,SPT,55,0
ft06,LPT,57,0
ft06,SRPT,57,0
ft06,LRPT,59,0
ft06,MIXED,55,0
ft06,RAND,55,0
ft06,TS,58,0
ft10,KK,1066,0
ft10,SPT,1054,0
ft10,LPT,1010,0
ft10,SRPT,1159,0
ft10,LRPT,1084,0
ft10,MIXED,1082,0
ft10,RAND,1062,0
ft10,TS,1138,0
ft20,KK,1330,0
ft20,SPT,1280,0
ft20,LPT,1283,0
ft20,SRPT,1310,0
ft20,LRPT,1303,0
ft20,MIXED,1338,0
ft20,RAND,1248,0
ft20,TS,1405,0
la01,KK,666,0
la01,SPT,666,0
la01,LPT,666,0
la01,SRPT,666,0
la01,LRPT,666,0
la01,MIXED,678,0
la01,RAND,666,0
la01,TS,710,0
la10,KK,958,0
la10,SPT,958,0
la10,LPT,958,0
la10,SRPT,958,0
la10,LRPT,958,0
la10,MIXED,958,0
la10,RAND,958,0
la10,TS,958,0
la20,KK,972,0
la20,SPT,964,0
la20,LPT,1012,0
la20,SRPT,958,0
la20,LRPT,1013,0
la20,MIXED,947,0
la20,RAND,960,0
la20,TS,1055,0
la30,KK,1585,0
la30,SPT,1609,0
la30,LPT,1521,0
la30,SRPT,1491,0
la30,LRPT,1608,0
la30,MIXED,1482,0
la30,RAND,1552,0
la30,TS,1661,0
