Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,56,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,60,1
ft06,GAKK,55,1
ft06,GAKK,55,1
ft06,GAKK,57,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,58,1
ft06,GAKK,55,1
ft06,GAKK,59,1
ft06,GAKK,59,1
ft06,GAKK,57,1
ft06,GAKK,55,1
ft06,GAKK,59,1
ft06,GAKK,58,1
ft06,GAKK,58,1
ft06,GASPT,59,1
ft06,GASPT,55,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,57,1
ft06,GASPT,57,1
ft06,GASPT,58,1
ft06,GASPT,58,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,58,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,58,1
ft06,GASPT,59,1
ft06,GASPT,55,1
ft06,GASPT,59,1
ft06,GASPT,55,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,55,1
ft06,GALPT,57,1
ft06,GALPT,57,1
ft06,GALPT,57,1
ft06,GALPT,59,1
ft06,GALPT,58,1
ft06,GALPT,55,1
ft06,GALPT,59,1
ft06,GALPT,58,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GALPT,58,1
ft06,GALPT,58,1
ft06,GALPT,57,1
ft06,GALPT,59,1
ft06,GALPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,58,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,59,1
ft06,GASRPT,58,1
ft06,GASRPT,59,1
ft06,GASRPT,58,1
ft06,GASRPT,57,1
ft06,GASRPT,58,1
ft06,GASRPT,58,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,55,1
ft06,GASRPT,60,1
ft06,GASRPT,59,1
ft06,GASRPT,55,1
ft06,GASRPT,59,1
ft06,GALRPT,59,1
ft06,GALRPT,60,1
ft06,GALRPT,55,1
ft06,GALRPT,59,1
ft06,GALRPT,57,1
ft06,GALRPT,59,1
ft06,GALRPT,58,1
ft06,GALRPT,57,1
ft06,GALRPT,57,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,59,1
ft06,GALRPT,57,1
ft06,GALRPT,59,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GALRPT,55,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GALRPT,58,1
ft06,GAMIX,57,1
ft06,GAMIX,55,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,55,1
ft06,GAMIX,59,1
ft06,GAMIX,58,1
ft06,GAMIX,60,1
ft06,GAMIX,57,1
ft06,GAMIX,59,1
ft06,GAMIX,57,1
ft06,GAMIX,60,1
ft06,GAMIX,59,1
ft06,GAMIX,59,1
ft06,GAMIX,55,1
ft06,GAMIX,55,1
ft06,GAMIX,59,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,60,1
ft06,GA,57,1
ft06,GA,59,1
ft06,GA,58,1
ft06,GA,58,1
ft06,GA,55,1
ft06,GA,59,1
ft06,GA,59,1
ft06,GA,55,1
ft06,GA,58,1
ft06,GA,59,1
ft06,GA,55,1
ft06,GA,55,1
ft06,GA,59,1
ft06,GA,60,1
ft06,GA,58,1
ft06,GA,59,1
ft06,GA,57,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,58,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft06,TS,55,1
ft10,GAKK,1057,1
ft10,GAKK,1035,1
ft10,GAKK,1072,1
ft10,GAKK,1052,1
ft10,GAKK,1023,1
ft10,GAKK,1071,1
ft10,GAKK,1083,1
ft10,GAKK,1074,1
ft10,GAKK,979,1
ft10,GAKK,1036,1
ft10,GAKK,1044,1
ft10,GAKK,1061,1
ft10,GAKK,1074,1
ft10,GAKK,1033,1
ft10,GAKK,1050,1
ft10,GAKK,1020,1
ft10,GAKK,1086,1
ft10,GAKK,1120,1
ft10,GAKK,1036,1
ft10,GAKK,1096,1
ft10,GASPT,1032,1
ft10,GASPT,1021,1
ft10,GASPT,1023,1
ft10,GASPT,1048,1
ft10,GASPT,997,1
ft10,GASPT,1048,1
ft10,GASPT,993,1
ft10,GASPT,1021,1
ft10,GASPT,1086,1
ft10,GASPT,1076,1
ft10,GASPT,1000,1
ft10,GASPT,1080,1
ft10,GASPT,1032,1
ft10,GASPT,1047,1
ft10,GASPT,1059,1
ft10,GASPT,1009,1
ft10,GASPT,1037,1
ft10,GASPT,1026,1
ft10,GASPT,1028,1
ft10,GASPT,1070,1
ft10,GALPT,1088,1
ft10,GALPT,1033,1
ft10,GALPT,1032,1
ft10,GALPT,1106,1
ft10,GALPT,1092,1
ft10,GALPT,1014,1
ft10,GALPT,1040,1
ft10,GALPT,1055,1
ft10,GALPT,1087,1
ft10,GALPT,1067,1
ft10,GALPT,1084,1
ft10,GALPT,1025,1
ft10,GALPT,1044,1
ft10,GALPT,1009,1
ft10,GALPT,1034,1
ft10,GALPT,1020,1
ft10,GALPT,1047,1
ft10,GALPT,1094,1
ft10,GALPT,1027,1
ft10,GALPT,1033,1
ft10,GASRPT,1121,1
ft10,GASRPT,1082,1
ft10,GASRPT,1031,1
ft10,GASRPT,1006,1
ft10,GASRPT,1006,1
ft10,GASRPT,1059,1
ft10,GASRPT,1028,1
ft10,GASRPT,1034,1
ft10,GASRPT,1034,1
ft10,GASRPT,1093,1
ft10,GASRPT,1013,1
ft10,GASRPT,1050,1
ft10,GASRPT,1017,1
ft10,GASRPT,1043,1
ft10,GASRPT,1070,1
ft10,GASRPT,1037,1
ft10,GASRPT,1049,1
ft10,GASRPT,1094,1
ft10,GASRPT,1049,1
ft10,GASRPT,1033,1
ft10,GALRPT,1099,1
ft10,GALRPT,1030,1
ft10,GALRPT,1043,1
ft10,GALRPT,1040,1
ft10,GALRPT,1040,1
ft10,GALRPT,1054,1
ft10,GALRPT,1065,1
ft10,GALRPT,1045,1
ft10,GALRPT,1103,1
ft10,GALRPT,1067,1
ft10,GALRPT,1076,1
ft10,GALRPT,1098,1
ft10,GALRPT,1062,1
ft10,GALRPT,1059,1
ft10,GALRPT,1084,1
ft10,GALRPT,1128,1
ft10,GALRPT,1031,1
ft10,GALRPT,1028,1
ft10,GALRPT,1056,1
ft10,GALRPT,1030,1
ft10,GAMIX,1004,1
ft10,GAMIX,1038,1
