Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,55,0
ft06,GAKK,57,0
ft06,GAKK,57,0
ft06,GAKK,55,0
ft06,GAKK,57,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,58,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,57,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GAKK,55,0
ft06,GASPT,58,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,57,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,58,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GASPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,57,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,58,0
ft06,GALPT,55,0
ft06,GALPT,58,0
ft06,GALPT,55,0
ft06,GALPT,56,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,55,0
ft06,GALPT,58,0
ft06,GALPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,58,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,58,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,57,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,55,0
ft06,GASRPT,58,0
ft06,GASRPT,58,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,58,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GALRPT,57,0
ft06,GALRPT,55,0
ft06,GALRPT,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,57,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,58,0
ft06,GAMIX,55,0
ft06,GAMIX,58,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,57,0
ft06,GAMIX,57,0
ft06,GAMIX,58,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GAMIX,55,0
ft06,GA,55,0
ft06,GA,58,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,57,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,58,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,55,0
ft06,GA,57,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,58,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft06,TS,55,0
ft10,GAKK,1013,0
ft10,GAKK,1028,0
ft10,GAKK,977,0
ft10,GAKK,1029,0
ft10,GAKK,1001,0
ft10,GAKK,1024,0
ft10,GAKK,1056,0
ft10,GAKK,974,0
ft10,GAKK,977,0
ft10,GAKK,978,0
ft10,GAKK,1033,0
ft10,GAKK,1006,0
ft10,GAKK,997,0
ft10,GAKK,976,0
ft10,GAKK,1033,0
ft10,GAKK,992,0
ft10,GAKK,991,0
ft10,GAKK,991,0
ft10,GAKK,1007,0
ft10,GAKK,1018,0
ft10,GASPT,991,0
ft10,GASPT,980,0
ft10,GASPT,1013,0
ft10,GASPT,998,0
ft10,GASPT,980,0
ft10,GASPT,994,0
ft10,GASPT,1012,0
ft10,GASPT,995,0
ft10,GASPT,1032,0
ft10,GASPT,1001,0
ft10,GASPT,1015,0
ft10,GASPT,1034,0
ft10,GASPT,1025,0
ft10,GASPT,983,0
ft10,GASPT,986,0
ft10,GASPT,1014,0
ft10,GASPT,1056,0
ft10,GASPT,967,0
ft10,GASPT,997,0
ft10,GASPT,999,0
ft10,GALPT,967,0
ft10,GALPT,978,0
ft10,GALPT,959,0
ft10,GALPT,1002,0
ft10,GALPT,1064,0
ft10,GALPT,1010,0
ft10,GALPT,1005,0
ft10,GALPT,974,0
ft10,GALPT,1037,0
ft10,GALPT,960,0
ft10,GALPT,976,0
ft10,GALPT,1001,0
ft10,GALPT,1006,0
ft10,GALPT,1029,0
ft10,GALPT,1007,0
ft10,GALPT,1021,0
ft10,GALPT,983,0
ft10,GALPT,1013,0
ft10,GALPT,1040,0
ft10,GALPT,981,0
ft10,GASRPT,1033,0
ft10,GASRPT,951,0
ft10,GASRPT,1032,0
ft10,GASRPT,994,0
ft10,GASRPT,991,0
ft10,GASRPT,1043,0
ft10,GASRPT,975,0
ft10,GASRPT,1027,0
ft10,GASRPT,995,0
ft10,GASRPT,997,0
ft10,GASRPT,1031,0
ft10,GASRPT,985,0
ft10,GASRPT,1043,0
ft10,GASRPT,1022,0
ft10,GASRPT,1002,0
ft10,GASRPT,962,0
ft10,GASRPT,978,0
ft10,GASRPT,982,0
ft10,GASRPT,1021,0
ft10,GASRPT,1026,0
ft10,GALRPT,983,0
