Instance,Algorithm,Makespan,ScenarioID
ft06,GAKK,57,3
ft06,GAKK,58,3
ft06,GAKK,59,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,57,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,58,3
ft06,GASPT,59,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,58,3
ft06,GASPT,58,3
ft06,GASPT,59,3
ft06,GASPT,58,3
ft06,GASPT,59,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GALPT,59,3
ft06,GALPT,55,3
ft06,GALPT,59,3
ft06,GALPT,55,3
ft06,GALPT,59,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,57,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,59,3
ft06,GALPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,57,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GASRPT,58,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,57,3
ft06,GALRPT,58,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,59,3
ft06,GAMIX,59,3
ft06,GAMIX,58,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,57,3
ft06,GAMIX,59,3
ft06,GAMIX,57,3
ft06,GAMIX,59,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GAMIX,58,3
ft06,GAMIX,58,3
ft06,GAMIX,58,3
ft06,GAMIX,59,3
ft06,GAMIX,55,3
ft06,GAMIX,55,3
ft06,GA,59,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,57,3
ft06,GA,58,3
ft06,GA,57,3
ft06,GA,58,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,58,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,58,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,57,3
ft06,GA,58,3
ft06,GA,55,3
ft06,GA,55,3
ft06,GA,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,58,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft06,TS,55,3
ft10,GAKK,1016,3
ft10,GAKK,1041,3
ft10,GAKK,1088,3
ft10,GAKK,1002,3
ft10,GAKK,1044,3
ft10,GAKK,1077,3
ft10,GAKK,1072,3
ft10,GAKK,1015,3
ft10,GAKK,1058,3
ft10,GAKK,1005,3
ft10,GAKK,1051,3
ft10,GAKK,1067,3
ft10,GAKK,1048,3
ft10,GAKK,1008,3
ft10,GAKK,1019,3
ft10,GAKK,982,3
ft10,GAKK,1039,3
ft10,GAKK,1053,3
ft10,GAKK,1039,3
ft10,GAKK,1010,3
ft10,GASPT,1061,3
ft10,GASPT,1057,3
ft10,GASPT,1062,3
ft10,GASPT,1111,3
ft10,GASPT,1037,3
ft10,GASPT,1084,3
ft10,GASPT,1045,3
ft10,GASPT,1031,3
ft10,GASPT,1059,3
ft10,GASPT,1042,3
ft10,GASPT,1014,3
ft10,GASPT,1058,3
ft10,GASPT,1045,3
ft10,GASPT,1071,3
ft10,GASPT,1093,3
ft10,GASPT,984,3
ft10,GASPT,1053,3
ft10,GASPT,1088,3
ft10,GASPT,1080,3
ft10,GASPT,992,3
ft10,GALPT,1027,3
ft10,GALPT,1079,3
ft10,GALPT,1035,3
ft10,GALPT,1088,3
ft10,GALPT,1041,3
ft10,GALPT,1039,3
ft10,GALPT,1082,3
ft10,GALPT,1068,3
ft10,GALPT,1092,3
ft10,GALPT,1036,3
ft10,GALPT,1066,3
ft10,GALPT,1057,3
ft10,GALPT,1093,3
ft10,GALPT,1018,3
ft10,GALPT,1057,3
ft10,GALPT,1051,3
ft10,GALPT,1015,3
ft10,GALPT,1083,3
ft10,GALPT,1062,3
ft10,GALPT,1062,3
ft10,GASRPT,1076,3
ft10,GASRPT,1055,3
ft10,GASRPT,1007,3
ft10,GASRPT,1070,3
ft10,GASRPT,1130,3
ft10,GASRPT,1014,3
ft10,GASRPT,1045,3
ft10,GASRPT,1060,3
ft10,GASRPT,1065,3
