Instance,Variant,Best Makespan,Scenario
ft06,KK,61,2
ft06,SPT,70,2
ft06,LPT,60,2
ft06,SRPT,61,2
ft06,LRPT,66,2
ft06,MIXED,59,2
ft06,RAND,60,2
ft06,TS,9999,2
ft10,KK,1341,2
ft10,SPT,1359,2
ft10,LPT,1276,2
ft10,SRPT,1349,2
ft10,LRPT,1413,2
ft10,MIXED,1342,2
ft10,RAND,1442,2
ft10,TS,9999,2
ft20,KK,1749,2
ft20,SPT,1653,2
ft20,LPT,1619,2
ft20,SRPT,1743,2
ft20,LRPT,1565,2
ft20,MIXED,1767,2
ft20,RAND,1734,2
ft20,TS,9999,2
la01,KK,787,2
la01,SPT,783,2
la01,LPT,761,2
la01,SRPT,809,2
la01,LRPT,741,2
la01,MIXED,790,2
la01,RAND,841,2
la01,TS,9999,2
la10,KK,976,2
la10,SPT,1075,2
la10,LPT,1022,2
la10,SRPT,969,2
la10,LRPT,1011,2
la10,MIXED,1025,2
la10,RAND,1144,2
la10,TS,9999,2
la20,KK,1177,2
la20,SPT,1276,2
la20,LPT,1218,2
la20,SRPT,1194,2
la20,LRPT,1189,2
la20,MIXED,1307,2
la20,RAND,1184,2
la20,TS,9999,2
la30,KK,2002,2
la30,SPT,1883,2
la30,LPT,2066,2
la30,SRPT,1944,2
la30,LRPT,1919,2
la30,MIXED,2028,2
la30,RAND,1840,2
la30,TS,9999,2
